final {'ceiling': 0.8364, 'PSU2': 0.8315, 'PSU_linear': 0.7179, 'PSU2_world': 0.8135, 'PCA': -0.0006, 'kmeans3': -0.0004, 'DMD': 0.3098, 'SVDCE': 0.6932, 'rho_own': [0.615104345169079, 0.5414286401322806, 0.14018697696745092, 0.11101210266056179], 'rho_world': [0.3214358798469789, 0.2787052087972676, 0.09569311905522057, 0.08644562540792759], 'rho_linear': [0.5510714559815957, 0.1365741843809991, 0.1036435212263033, 0.07833645436210884], 'PSU2_reparam': 0.8136, 'PCA_reparam': 0.006, 'ceiling_cat': 0.8971, 'PSU2_cat': 0.888}
{'tau': 1, 'kind': 'own2', 'rho': [0.936, 0.8132, 0.5922, 0.5109, 0.4429, 0.4245, 0.3286, 0.3072, 0.2466, 0.2246], 'thr': 0.067, 'detectable': 16, 'gap_at': 2}
{'tau': 16, 'kind': 'own2', 'rho': [0.614, 0.5342, 0.1228, 0.0905, 0.0823, 0.0699, 0.0584, 0.0522, 0.046, 0.0456], 'thr': 0.0833, 'detectable': 4, 'gap_at': 2}
{'tau': 24, 'kind': 'own2', 'rho': [0.4892, 0.4216, 0.0879, 0.0822, 0.0681, 0.0625, 0.0563, 0.0543, 0.0527, 0.0495], 'thr': 0.0952, 'detectable': 2, 'gap_at': 2}
{'tau': 16, 'kind': 'world2', 'rho': [0.3103, 0.261, 0.0643, 0.0586, 0.0534, 0.0464, 0.0451, 0.0435, 0.0396, 0.0375], 'thr': 0.0779, 'detectable': 2, 'gap_at': 2}
{'tau': 16, 'kind': 'linear', 'rho': [0.5481, 0.1274, 0.0865, 0.0582, 0.0435, 0.0427, 0.0411, 0.0406, 0.0381, 0.0356], 'thr': 0.0653, 'detectable': 3, 'gap_at': 1}
5 {'step': 0, 'excess': 0.0896, 'rho1': 0.7863, 'rho2': 0.7466, 'rho3': 0.6038, 'thr': 0.089, 'ceiling': -0.0062, 'psu2': -0.0019, 'psu_lin': -0.0018, 'rho2_lin': 0.3975} 112
5 {'step': 4000, 'excess': 0.0026, 'rho1': 0.6274, 'rho2': 0.5335, 'rho3': 0.1097, 'thr': 0.0792, 'ceiling': 0.8066, 'psu2': 0.8021, 'psu_lin': 0.6502, 'rho2_lin': 0.1241} 248
5 {'step': 4250, 'excess': 0.0028, 'rho1': 0.6271, 'rho2': 0.5276, 'rho3': 0.1362, 'thr': 0.0857, 'ceiling': 0.8103, 'psu2': 0.8033, 'psu_lin': 0.6056, 'rho2_lin': 0.1353} 258
5 {'step': 4500, 'excess': 0.0028, 'rho1': 0.6021, 'rho2': 0.5137, 'rho3': 0.1247, 'thr': 0.0866, 'ceiling': 0.8083, 'psu2': 0.8024, 'psu_lin': 0.484, 'rho2_lin': 0.1123} 267
5 {'step': 4750, 'excess': 0.0023, 'rho1': 0.6161, 'rho2': 0.5111, 'rho3': 0.1312, 'thr': 0.079, 'ceiling': 0.811, 'psu2': 0.8052, 'psu_lin': 0.5455, 'rho2_lin': 0.1354} 276
5 {'step': 5000, 'excess': 0.0024, 'rho1': 0.6324, 'rho2': 0.5008, 'rho3': 0.1461, 'thr': 0.0812, 'ceiling': 0.8262, 'psu2': 0.82, 'psu_lin': 0.6419, 'rho2_lin': 0.1703} 285
5 {'step': 5250, 'excess': 0.0022, 'rho1': 0.5859, 'rho2': 0.5123, 'rho3': 0.1164, 'thr': 0.0771, 'ceiling': 0.8269, 'psu2': 0.8219, 'psu_lin': 0.6479, 'rho2_lin': 0.1008} 295
5 {'step': 5500, 'excess': 0.0022, 'rho1': 0.5917, 'rho2': 0.5262, 'rho3': 0.0991, 'thr': 0.0852, 'ceiling': 0.8398, 'psu2': 0.8358, 'psu_lin': 0.5929, 'rho2_lin': 0.1114} 304
5 {'step': 5750, 'excess': 0.0019, 'rho1': 0.5979, 'rho2': 0.5158, 'rho3': 0.1052, 'thr': 0.0787, 'ceiling': 0.8305, 'psu2': 0.8245, 'psu_lin': 0.4953, 'rho2_lin': 0.1016} 313
5 {'step': 6000, 'excess': 0.002, 'rho1': 0.6005, 'rho2': 0.5327, 'rho3': 0.1649, 'thr': 0.0813, 'ceiling': 0.8227, 'psu2': 0.8175, 'psu_lin': 0.5046, 'rho2_lin': 0.1584} 322
5 {'step': 6250, 'excess': 0.0017, 'rho1': 0.5976, 'rho2': 0.5287, 'rho3': 0.1155, 'thr': 0.0832, 'ceiling': 0.8244, 'psu2': 0.8194, 'psu_lin': 0.5509, 'rho2_lin': 0.0889} 331
5 {'step': 6500, 'excess': 0.0018, 'rho1': 0.5951, 'rho2': 0.523, 'rho3': 0.1466, 'thr': 0.0819, 'ceiling': 0.8212, 'psu2': 0.8163, 'psu_lin': 0.6477, 'rho2_lin': 0.2041} 340
5 {'step': 6750, 'excess': 0.0017, 'rho1': 0.5992, 'rho2': 0.531, 'rho3': 0.1169, 'thr': 0.0808, 'ceiling': 0.8344, 'psu2': 0.8297, 'psu_lin': 0.721, 'rho2_lin': 0.1144} 347
5 {'step': 7000, 'excess': 0.0017, 'rho1': 0.5907, 'rho2': 0.5264, 'rho3': 0.124, 'thr': 0.0829, 'ceiling': 0.8348, 'psu2': 0.8299, 'psu_lin': 0.6012, 'rho2_lin': 0.1433} 357
5 {'step': 7250, 'excess': 0.0015, 'rho1': 0.5998, 'rho2': 0.5043, 'rho3': 0.1295, 'thr': 0.0832, 'ceiling': 0.8355, 'psu2': 0.8312, 'psu_lin': 0.508, 'rho2_lin': 0.134} 365
5 {'step': 7500, 'excess': 0.0015, 'rho1': 0.618, 'rho2': 0.533, 'rho3': 0.1373, 'thr': 0.0804, 'ceiling': 0.8327, 'psu2': 0.8271, 'psu_lin': 0.6333, 'rho2_lin': 0.181} 374
5 {'step': 7750, 'excess': 0.0015, 'rho1': 0.6193, 'rho2': 0.5313, 'rho3': 0.1042, 'thr': 0.0837, 'ceiling': 0.8406, 'psu2': 0.8361, 'psu_lin': 0.7774, 'rho2_lin': 0.1651} 383
5 {'step': 8000, 'excess': 0.0014, 'rho1': 0.614, 'rho2': 0.5342, 'rho3': 0.1228, 'thr': 0.084, 'ceiling': 0.8364, 'psu2': 0.8315, 'psu_lin': 0.7179, 'rho2_lin': 0.1366} 392
done 392
